Temp,AXA.4.2,AXA.4.1,AA.3.1,AA.5.2,AA.5.1,AA.7.1,AA.7.3,AA.7.2,AA.1.1,AA.5.3,AA.1.2,AXA.2.1,AA.1.3,AA.4.1,AXA.5.1,AXA.2.3,AA.2.1,AA.4.2,AA.3.3,AA.6.1,AXA.3.1,AA.3.2,AXA.4.3,AXA.1.1,AA.2.2,AXA.1.2,AXA.3.2,AXA.5.2,AA.6.3,AA.4.3,AA.2.3,AXA.1.3,AXA.3.3,AXA.5.3,AXA.6.1,AXA.6.2,AXA.6.3,AXA.7.1,AXA.7.2,AXA.7.3,Av.6.1,Av.4.2,Av.1.2,Av.6.3,Av.3.1,Av.2.1,Av.4.1,Av.6.2,Av.7.2,Av.4.3,Av.5.1,Ad.2.1,Av.1.1,Ad.7.1,Ad.3.2,Av.1.3,Ad.7.3,Ad.1.1,Av.7.1,Ad.3.1,Ad.7.2,Av.7.3,Ad.3.3,Ad.5.1,Av.5.2,Av.3.2,Av.2.2,Ad.2.2,Ad.1.2,Ad.5.2,Ad.5.3,Ad.4.3,Ad.1.3,Ad.4.2,Ad.2.3,Ad.4.1,Av.2.3,Ad.6.3,Av.3.3,Ad.6.2,Av.5.3,Ad.6.1,Aas.2.2,Aas.4.1,Am.2.1,Am.4.2,Aas.2.1,Am.1.1,Aas.4.2,Am.1.2,Am.4.1,Am.1.3,Am.2.2,Am.6.1,Am.6.3,Am.5.1,Aas.3.1,Aas.2.3,Aas.4.3,Aas.1.1,Am.4.3,Am.3.1,Aas.5.1,Am.2.3,Am.7.1,Am.3.2,Am.5.2,Aas.1.2,Aas.3.2,Aas.5.2,Aas.5.3,AasZ.7.3,Aas.6.1,Am.3.3,Aas.6.2,Am.5.3,Aas.6.3,Aas.1.3,AasZ.7.1,Aas.3.3,AasZ.7.2,AasZ.8.1,AasZ.8.2,AasZ.8.3,Ap.3.2,Av.8.2,Av.10.1,Ap.1.2,Ap.3.1,Av.8.1,Apl.1.2,Av.10.2,Av.12.1,Av.8.3,Av.12.2,Ap.1.1,Ap.1.3,Av.11.1,As.1.1,Ap.3.3,Av.13.1,Av.9.2,Av.12.3,Av.9.1,Ap.4.1,Av.10.3,Apl.1.3,Ap.2.1,Av.11.2,Av.11.3,Av.9.3,As.2.1,As.2.2,Av.13.2,Ap.2.2,Ap.4.2,As.1.3,Ac.1.3,Ap.4.3,Ac.1.2,Av.13.3,Ades.1.2,Ap.2.3,Ac.1.1,Ades.1.3
35,182.695,180.812,174.85,257.069,168,176.506,260.145,185.923,223.13,253.88,209.685,188.344,309.231,298.256,220.991,199.447,342.422,244.897,292.179,225.06,272.496,292.812,186.265,249.59,340.795,275.598,269.752,197.777,247.198,233.877,227.175,212.663,414.35,218.321,224.274,204.398,218.945,189.495,210.009,200.409,142.69,178.607,145.947,186.614,275.684,277.821,199.155,167.053,224.65,267.684,202.291,287.368,140.775,158.26,202.59,153.817,172.618,237.171,175.018,158.633,182.705,222.319,215.667,163.519,239.034,232.427,153.297,197.291,247.444,174.616,201.829,159.879,216.342,161.877,289.12,158.505,209.155,150.217,201.829,155.19,164.096,178.78,140.752,124.808,154.147,176.602,136.484,165.745,138.677,125.938,177.106,128.826,155.883,138.781,181.547,177.435,215.333,144.333,142.843,194.205,152.892,216.154,207.419,150.103,213.829,231.59,173.775,157.411,217.41,152.679,150.518,157.274,123.129,180.552,149.882,201.009,159.907,174.853,217.581,145.704,164.25,140.478,168.426,121.096,195.841,196.611,184.728,228.171,162.541,192.315,160.154,217.932,159.402,205.828,188.64,177.5,241.393,154.597,175.092,175.144,158.688,223.179,213.87,222.483,213.44,240.709,159.099,240.838,184.883,184.01,210.886,164.258,171.481,192.938,309.009,281.222,222.75,146.592,201.026,196.421,161.987,156.654,270.897,161.262,158.567
35,163.105,155.871,148.483,262.483,149.854,150.987,262.812,173.385,223.739,248.778,206.454,181.032,314.205,289.752,221.629,195.437,343.043,238.803,293.53,231.267,283.068,285.299,179.898,257.795,334.547,277.632,272.573,187.194,249.56,229.307,226.158,210.406,416.137,220.205,224.708,201.832,216.771,182.074,200.202,186.118,121.931,172.06,132.149,184.605,271.829,287.658,202.155,160.018,216.769,262.444,202.496,278.496,122.613,146.952,207.12,160.321,174.227,224.12,170.009,152.653,175.268,226.207,216.932,156.368,235.624,228.282,154.748,194.162,247.573,169.473,204.282,153.561,215.496,163.447,285.333,139.963,209.69,147.075,199.479,146.295,161.538,174.771,135.465,104.308,149.349,171.947,117.297,165.727,123.968,104.812,167.681,105.304,144.55,130.688,182.299,184.096,215.094,138.685,132.011,195.53,149.955,222.957,206.632,139.336,207.35,223.308,175.64,152.121,213.291,144.274,149.321,147.981,113.357,190.31,141.718,201.949,156.963,173.698,232.821,147.837,163.664,138.5,166.026,91.173,187.85,193.23,182.573,224.368,142.882,183.36,140.431,220.718,147.622,210.586,184.64,164.55,242.727,134.306,158.947,165.598,147,227.692,210.27,215.966,216.638,237.803,145.395,234.145,179.604,176.067,210.351,156.688,167.885,189,303.256,272.581,222.643,109.265,192.078,193.86,150.04,140.859,268.949,152.012,145.7
35,162.6,155.353,155.35,268.06,155.542,149.734,269.171,167.154,227.426,250.65,206.093,175.161,310.769,300.812,213.474,194.427,352.267,241.846,294.291,231.655,276.273,292.915,176.816,259.009,332.419,280.658,270.376,186.233,251.517,232.886,223.447,204.356,415.47,215.304,226.319,204.823,217.56,183.874,198.339,196.227,127.92,175.795,140.415,186.93,277.197,277.316,207.543,163.789,227.53,264.915,209.197,284.462,120.775,149.673,208.188,153.899,182.418,236.761,165.658,150.439,180.286,220.836,216.214,161.387,238.017,235.154,157.081,191.188,254.513,173.125,209.983,156.075,225.376,164.632,283.795,145.047,205.991,144.104,201.265,140.343,167.606,178.514,132.842,91.385,149.936,169.106,123.132,167.173,120.538,101.406,173.513,114.377,151.135,132.458,179.009,173.861,215.752,136.269,132.607,199.145,150.117,216.359,212.624,150.047,216.308,232.547,177.892,146.467,218.325,143.858,146.223,147.038,114.886,192.164,143.245,196.821,160.701,175.483,227.026,151.357,165.647,137.076,168.104,98.885,183.496,194.593,180.942,224.162,150.506,184.739,139.508,221.444,142.841,212.414,185.088,165.81,236.487,135.339,158.842,165.33,145.625,220.906,217.365,224.612,216.164,244.829,149.309,235.581,174.91,175.352,213.211,161.269,166.894,186.646,306.205,275.154,226.241,121.878,196.713,193.754,146.627,148.833,264.214,141.595,133.317
35,167.274,162.871,149.1,268.19,149.646,151.342,265.282,171.962,222.357,252.795,206.833,175.021,309.701,300,212.655,190.126,344.069,238.41,303.043,232.276,273.436,293.342,185.316,263,330.607,278.137,273.137,188.417,250.043,234.588,226.149,201.109,421.291,210.438,217.027,208.673,220.688,180.084,197.009,190.136,124.011,166.761,133.553,185.14,282.889,290.137,205.655,153.781,222.65,262.214,205.462,292.906,123.35,152.173,204.658,155.028,175.827,237.256,172.793,148.867,174.75,227.819,215.94,153.028,230.085,235.359,154.117,199.812,248.453,163.804,202.273,154.131,221.786,160.763,288.085,145.159,210.06,145.717,206.727,146.895,156.606,174.404,134.634,93.462,149.183,166.929,123.275,161.682,126.183,112.016,172.602,109.957,155.919,135.823,181.35,182.13,209.504,142.796,135.652,201.684,149.919,220.128,204.872,144.916,217.026,229.983,180.514,141.804,211.641,149.679,146.009,144.802,111.571,189.241,145.691,193.632,164.785,171.44,217.59,134.112,164.578,140.38,169.843,100.077,192.664,193.381,173.097,229.12,146.624,189.505,135.077,219.658,142.89,203.534,180.833,162.55,241.838,129.371,156.895,166.577,153.212,221.855,210.47,228.052,219.095,241.06,146.864,242.632,178.252,182.505,212.807,156.495,165.808,191.699,303.88,289.385,230.946,112.184,189.304,192.289,148.147,142.551,273.632,147.012,133.1
35,160.947,168.612,145.417,267.44,145.292,154.848,261.684,171.013,230.896,252.957,210.574,183.419,317.479,293.547,222.759,197.204,354.414,237.744,303.444,232.241,283.145,297.786,181.5,259.863,343.111,281.393,276.308,191.136,254.836,231.491,230.035,211.485,418.906,217.661,221.062,205.832,219.752,182.453,194.477,194.345,129.448,172.231,141.915,185.149,282.769,277.624,199.371,163.079,230.282,261.932,206.051,289.376,123.6,152.837,202.556,145.303,174.755,237.41,176.072,149.276,177.991,221.897,214.607,154.623,240.111,234.538,157.559,201.068,243.47,166.018,206.026,159.645,219.316,163.518,279.735,148.654,212.181,147.264,207.205,138.438,161.856,177.422,133.356,88.096,161.706,175.381,120.308,164.936,122.925,106.219,177.265,109.014,153.604,126.427,178.333,178.304,210.564,140.5,139.663,204.675,150.676,219.786,211.915,146.252,204.846,232.094,176.081,151.243,212.889,148.434,148.536,144.613,111.371,182.371,143.618,200.598,164.664,178.052,229.897,142.51,164.103,133.022,172.33,91.038,183.894,199.221,178.592,222.59,140.647,188.297,139.585,216.658,145.598,200.862,181.43,166.37,252.991,135.081,154.118,163.67,148.4,222.35,213.226,219.259,216.966,237.991,149.543,246.051,171,182.2,219.263,156.538,162.615,183.434,311.453,280.256,221.679,114.286,202.548,193.298,138.067,141.974,282.41,143.726,134.133
35.12,163.463,162.906,146.65,265.103,141.792,146.848,269.41,173.218,219.252,245.889,208.5,187.548,311.12,302.453,219.603,199.825,342.724,245.231,302.103,230.664,277.342,291.769,188.184,253.641,338.846,284.786,270.53,192.194,246.526,231.605,225.088,202.921,424.145,220.705,219.15,202.779,216.743,183.211,200.312,195.145,129.621,173.786,135.957,182.219,279.231,292.205,206.612,156,229.299,261.598,203.889,282.427,120.275,150.019,204.188,152.303,174.655,236.53,167.036,147.827,173.375,230.75,211.308,158.642,232.615,231.957,158,195.111,249.598,165.75,206.786,152.308,223.838,163.939,284.376,150.449,209.181,147,199.923,144.01,155.933,171.523,141.604,95.635,153.853,177.973,122.253,160.891,128.065,110.062,167.009,112.014,151.937,133.104,181.718,179.522,216.043,138.731,143.045,198.162,153.694,226.915,217.128,152.262,218.795,234.803,174.297,148.701,214.419,160.736,146,145.5,109.914,186.914,145.236,201.427,158.327,170.914,230.581,153.52,162.414,139.402,164.8,102.288,194.248,189.681,182.019,233.675,146.412,189.252,133.246,217.077,145.256,207.517,181.263,171.68,236.504,131.887,157.803,170,144.288,225.171,217.078,219.681,219.784,243.581,144.407,243.581,178.486,177.905,216.711,155.839,167.202,188.911,323.957,283.59,221.009,115.163,202.235,195.789,162.293,146.064,270.59,152.702,138.5
35.12,163.242,163.635,145.417,262.776,152.292,146.747,268.769,170.731,220.313,252.282,203.722,187.57,310.462,295.436,215.345,190.932,338.129,247.906,295.556,229.431,270.564,282.778,178.327,260.402,325.573,283.316,272.932,184.641,248.897,226.825,220.86,202.822,419.658,209.188,228.08,207.08,203.761,179.179,196.505,187.582,134.977,169.248,140.021,190.956,269.949,283.427,206.853,161.939,232.701,264.393,210.658,289.368,122.05,149.317,206.06,156.514,171.6,233.342,171.964,149.571,179.357,222.784,217.906,162.217,238.692,235.444,155.063,198.701,250.889,162.929,204.897,151.047,219.111,166.053,275.966,149.654,215.664,145.009,201.179,147.229,165.462,170.642,133.139,96.019,156.101,166.991,120.659,157.173,125.387,108.141,170.248,108.754,156.82,138.125,178.316,186.8,208,141.806,143.09,199.547,149.261,227.487,207.778,146.935,211.94,228.436,181.378,157.738,209.299,153.16,155.705,152.349,102.743,189.888,150.509,198.197,155.916,176.966,218.727,149.888,163.319,141.141,168.087,92.865,192.982,196.46,178.243,227.026,145.659,185.486,139.262,218.88,143.695,206.603,184.693,169.85,245.812,131.484,159.092,169.01,148.863,222.624,213.339,219.448,223.647,243.342,148.444,238.154,175.748,182.838,213.421,155.194,172.856,192.611,317.752,284.889,220.554,114.367,194.496,196.219,152.173,140.128,279.085,140.94,134.667
35.12,168.705,160.824,152.817,261.612,154.021,153.709,263,174.667,228.861,250.265,218.046,190,309.778,297.812,213.853,197.233,349.836,242.068,298.342,226.681,272.718,286.368,184.541,258.863,333.248,282.068,278.128,187.845,246.397,229.149,224.553,207.911,422.171,219.893,224.398,204.558,215.615,189.232,202.743,195.118,128.299,172.658,136.426,186.456,275.966,284.675,204.345,162.114,226.026,261.385,204.838,290.897,123.137,153.183,209.829,147.44,178.282,233.368,172.207,148.347,177.464,227.905,214.137,160.783,237.197,234.06,155.018,196.427,245.983,175.321,208.333,157.963,221.273,168.947,286.197,147.991,212.353,139.557,198.248,144.324,159.356,173.33,140.772,98.519,149.468,172.717,124.516,158.164,129.172,108.656,176.398,113.174,158.865,139.198,180.077,181.878,212.103,142.13,141.258,198.128,153.342,224.385,210.727,154.43,211.299,231.273,180.225,143.215,211.265,156.821,153.17,150.868,108.986,190.681,148.118,200.863,163.14,169.647,222.214,152.857,163.25,136.446,169.07,100.615,191.212,198.858,177.262,227.496,142.6,191.64,139.892,220.419,145.573,206.888,184.07,169.98,247.094,138.468,157.618,168.031,148.425,220.932,208.313,225.681,218.517,242.111,148.469,242.043,175.207,176.781,217.658,162.108,164.433,187.602,323.838,286.675,224.143,122.449,192.113,195.149,144.147,146.564,274.701,147.655,144.717
35.12,163.4,163.859,156.317,265.267,148.042,165.557,271.786,177.821,226.791,254.966,205.963,182.237,318.06,304.761,220.259,188.942,343.121,244.06,301.214,228.586,272.53,292.333,186,266.085,335.419,284.744,278.231,187.641,254.379,229.886,226.974,201.901,422.778,218.786,225.389,199.168,216.514,178.8,198.78,187.755,125.437,176.316,139.415,185.421,280.453,287.41,204.578,157.298,233.051,269.342,205.402,286.291,120.213,144.067,204.966,149.55,188.682,229.273,169.811,148.714,186.116,218.957,213.214,163.208,232.436,231.513,157.36,199.026,251.932,169.357,208.077,158.505,215.718,172.053,287.419,146.112,205.724,141.368,203.291,145.457,163.442,176.532,140.881,97.231,149.505,176.195,120.11,159.973,126.247,102.672,173.442,112.855,153.694,132.188,175.709,184.443,213.009,143.046,143.146,192.761,155.901,225.248,214.769,147.561,217.598,230.197,177.901,147.299,213.41,153.066,148.205,144.217,113.543,180.603,147.136,204.077,164.028,175.233,226.863,151.092,165.319,128.304,171.817,99.423,194.735,195.248,177.194,226.718,141.435,190.703,144.662,220.624,145.561,207.103,191.281,164.53,241.735,134.742,159.355,164.753,155.113,224.068,210.939,223.612,222.75,237.299,147.815,236.632,182.802,179.905,216.351,155.258,170.01,190.027,322.222,285.906,219.625,114.286,196.287,190.596,145.907,144.167,274.769,152.155,139.083
35.12,168.053,165.282,150.483,265.431,141.854,152.709,263.325,171.667,227.957,250.325,209.454,193.14,310.838,292.615,216.974,190.33,348.664,245.752,307.444,235.638,278.949,285.675,195.684,255.385,340.128,286.556,281.299,185.748,243.517,230.386,223.561,199.96,431.248,218.625,220.973,202.726,219.183,178.842,202.679,183.955,121.575,172.256,145.223,185.596,279.521,288.171,202.75,160.982,229.077,271.239,210.803,287.607,129.275,154.106,202,150.257,178.118,230.538,176.973,149,179.223,221.198,215.547,164.887,236.333,240.778,159.162,198.795,245.265,172.911,211.179,162,217.821,163.211,290.675,142.888,212.897,138.557,207.256,143.219,163.327,171.642,136.851,98.865,152.963,172.575,125.429,155.336,127.763,107.188,179,111.768,152.18,133.74,182.752,184.07,214.915,139.009,139.73,195.034,155.216,220.111,208.701,146.925,211.966,236.65,176.595,154.766,215.154,153.066,152.036,149.094,106.743,183.871,146.936,202.88,161.991,178.81,225.684,149.388,159.362,133.272,176.122,96.615,189.779,198.301,180.447,230.521,146.2,192.036,141.154,225.444,143.768,204.853,184.684,175.82,244.111,136.984,154.789,177.588,154.613,224.761,211.322,229.94,228.284,240.479,153.025,239.906,175.117,180.8,219.377,156.204,174.981,189.442,326.615,286.385,223,120.918,199.087,190.851,144.48,143.692,277.923,151.286,146.683
