FluorCam7 Kinetics Export File
-----------------------------------
[us]	[°C]	Ap3.2	Av8.2	Av10.1	Ap1.2	Ap3.1	Av8.1	Apl1.2	Av10.2	Av12.1	Av8.3	Av12.2	Ap1.1	Ap1.3	Av11.1	As1.1	Ap3.3	Av13.1	Av9.2	Av12.3	Av9.1	Ap4.1	Av10.3	Apl1.3	Ap2.1	Av11.2	Av11.3	Av9.3	As2.1	As2.2	Av13.2	Ap2.2	Ap4.2	As1.3	Ac1.3	Ap4.3	Ac1.2	Av13.3	Ades1.2	Ap2.3	Ac1.1	Ades1.3
20000	35.00	195.841	196.611	184.728	228.171	162.541	192.315	160.154	217.932	159.402	205.828	188.640	177.500	241.393	154.597	175.092	175.144	158.688	223.179	213.870	222.483	213.440	240.709	159.099	240.838	184.883	184.010	210.886	164.258	171.481	192.938	309.009	281.222	222.750	146.592	201.026	196.421	161.987	156.654	270.897	161.262	158.567
60000	35.00	187.850	193.230	182.573	224.368	142.882	183.360	140.431	220.718	147.622	210.586	184.640	164.550	242.727	134.306	158.947	165.598	147.000	227.692	210.270	215.966	216.638	237.803	145.395	234.145	179.604	176.067	210.351	156.688	167.885	189.000	303.256	272.581	222.643	109.265	192.078	193.860	150.040	140.859	268.949	152.012	145.700
100000	35.00	183.496	194.593	180.942	224.162	150.506	184.739	139.508	221.444	142.841	212.414	185.088	165.810	236.487	135.339	158.842	165.330	145.625	220.906	217.365	224.612	216.164	244.829	149.309	235.581	174.910	175.352	213.211	161.269	166.894	186.646	306.205	275.154	226.241	121.878	196.713	193.754	146.627	148.833	264.214	141.595	133.317
140000	35.00	192.664	193.381	173.097	229.120	146.624	189.505	135.077	219.658	142.890	203.534	180.833	162.550	241.838	129.371	156.895	166.577	153.212	221.855	210.470	228.052	219.095	241.060	146.864	242.632	178.252	182.505	212.807	156.495	165.808	191.699	303.880	289.385	230.946	112.184	189.304	192.289	148.147	142.551	273.632	147.012	133.100
180000	35.00	183.894	199.221	178.592	222.590	140.647	188.297	139.585	216.658	145.598	200.862	181.430	166.370	252.991	135.081	154.118	163.670	148.400	222.350	213.226	219.259	216.966	237.991	149.543	246.051	171.000	182.200	219.263	156.538	162.615	183.434	311.453	280.256	221.679	114.286	202.548	193.298	138.067	141.974	282.410	143.726	134.133
30020000	35.12	194.248	189.681	182.019	233.675	146.412	189.252	133.246	217.077	145.256	207.517	181.263	171.680	236.504	131.887	157.803	170.000	144.288	225.171	217.078	219.681	219.784	243.581	144.407	243.581	178.486	177.905	216.711	155.839	167.202	188.911	323.957	283.590	221.009	115.163	202.235	195.789	162.293	146.064	270.590	152.702	138.500
30060000	35.12	192.982	196.460	178.243	227.026	145.659	185.486	139.262	218.880	143.695	206.603	184.693	169.850	245.812	131.484	159.092	169.010	148.863	222.624	213.339	219.448	223.647	243.342	148.444	238.154	175.748	182.838	213.421	155.194	172.856	192.611	317.752	284.889	220.554	114.367	194.496	196.219	152.173	140.128	279.085	140.940	134.667
30100000	35.12	191.212	198.858	177.262	227.496	142.600	191.640	139.892	220.419	145.573	206.888	184.070	169.980	247.094	138.468	157.618	168.031	148.425	220.932	208.313	225.681	218.517	242.111	148.469	242.043	175.207	176.781	217.658	162.108	164.433	187.602	323.838	286.675	224.143	122.449	192.113	195.149	144.147	146.564	274.701	147.655	144.717
30140000	35.12	194.735	195.248	177.194	226.718	141.435	190.703	144.662	220.624	145.561	207.103	191.281	164.530	241.735	134.742	159.355	164.753	155.113	224.068	210.939	223.612	222.750	237.299	147.815	236.632	182.802	179.905	216.351	155.258	170.010	190.027	322.222	285.906	219.625	114.286	196.287	190.596	145.907	144.167	274.769	152.155	139.083
30180000	35.12	189.779	198.301	180.447	230.521	146.200	192.036	141.154	225.444	143.768	204.853	184.684	175.820	244.111	136.984	154.789	177.588	154.613	224.761	211.322	229.940	228.284	240.479	153.025	239.906	175.117	180.800	219.377	156.204	174.981	189.442	326.615	286.385	223.000	120.918	199.087	190.851	144.480	143.692	277.923	151.286	146.683
60020000	35.24	196.540	193.513	179.194	232.094	143.318	189.658	140.492	219.359	145.671	205.595	177.912	172.860	247.949	132.065	160.237	172.907	150.400	221.607	215.339	230.284	226.319	244.017	149.704	243.769	178.153	183.019	215.211	153.935	171.529	181.929	335.265	293.701	225.857	118.245	203.470	193.702	151.800	143.333	276.573	142.619	146.950
60060000	35.24	192.062	201.566	181.029	225.333	150.941	184.477	140.908	218.709	146.183	208.690	184.702	166.840	245.000	131.823	150.908	166.608	149.512	217.145	215.635	223.681	216.819	246.573	155.975	244.376	177.468	184.105	214.868	157.000	171.385	193.018	325.838	287.880	224.589	115.918	201.643	191.167	152.240	141.359	277.188	144.869	133.917
60100000	35.24	195.230	200.735	183.039	226.128	144.682	184.559	136.508	223.068	139.866	209.095	179.658	171.300	247.162	135.065	156.539	168.165	157.562	218.103	206.278	230.793	220.379	249.009	150.309	234.923	180.342	178.800	222.053	153.785	168.510	190.292	326.880	296.248	231.277	127.306	202.678	191.018	146.613	144.949	271.376	141.548	137.183
60140000	35.24	188.903	206.018	176.709	221.744	148.388	187.468	139.431	221.684	137.963	213.095	178.325	175.980	240.026	136.629	149.316	165.969	145.812	219.470	215.930	226.914	224.724	243.487	151.481	246.291	174.171	178.790	221.772	163.118	173.760	189.894	329.667	290.521	223.562	110.163	204.739	196.588	145.640	137.577	275.350	152.107	141.167
60180000	35.24	193.823	200.478	185.291	221.248	144.471	186.721	140.554	219.650	144.354	212.836	185.614	165.120	246.624	133.484	152.461	171.052	146.475	217.120	213.365	222.103	222.879	245.325	153.086	243.385	179.523	176.657	216.798	156.677	163.567	196.283	320.214	289.530	229.045	114.122	205.574	193.491	144.973	145.090	281.496	143.464	140.500
90020000	35.36	197.000	201.867	176.291	226.556	142.459	191.775	139.631	220.667	140.634	206.517	174.149	170.190	252.624	128.113	159.026	174.979	143.738	222.957	208.948	225.233	226.379	244.333	153.210	244.598	175.180	184.467	218.491	154.247	174.856	193.292	328.291	290.846	227.652	105.163	206.061	194.965	145.933	134.077	281.692	144.679	141.283
