FluorCam7 Kinetics Export File
-----------------------------------
[us]	[°C]	AXA4.2	AXA4.1	AA3.1	AA5.2	AA5.1	AA7.1	AA7.3	AA7.2	AA1.1	AA5.3	AA1.2	AXA2.1	AA1.3	AA4.1	AXA5.1	AXA2.3	AA2.1	AA4.2	AA3.3	AA6.1	AXA3.1	AA3.2	AXA4.3	AXA1.1	AA2.2	AXA1.2	AXA3.2	AXA5.2	AA6.3	AA4.3	AA2.3	AXA1.3	AXA3.3	AXA5.3	AXA6.1	AXA6.2	AXA6.3	AXA7.1	AXA7.2	AXA7.3
20000	35.00	182.695	180.812	174.850	257.069	168.000	176.506	260.145	185.923	223.130	253.880	209.685	188.344	309.231	298.256	220.991	199.447	342.422	244.897	292.179	225.060	272.496	292.812	186.265	249.590	340.795	275.598	269.752	197.777	247.198	233.877	227.175	212.663	414.350	218.321	224.274	204.398	218.945	189.495	210.009	200.409
60000	35.00	163.105	155.871	148.483	262.483	149.854	150.987	262.812	173.385	223.739	248.778	206.454	181.032	314.205	289.752	221.629	195.437	343.043	238.803	293.530	231.267	283.068	285.299	179.898	257.795	334.547	277.632	272.573	187.194	249.560	229.307	226.158	210.406	416.137	220.205	224.708	201.832	216.771	182.074	200.202	186.118
100000	35.00	162.600	155.353	155.350	268.060	155.542	149.734	269.171	167.154	227.426	250.650	206.093	175.161	310.769	300.812	213.474	194.427	352.267	241.846	294.291	231.655	276.273	292.915	176.816	259.009	332.419	280.658	270.376	186.233	251.517	232.886	223.447	204.356	415.470	215.304	226.319	204.823	217.560	183.874	198.339	196.227
140000	35.00	167.274	162.871	149.100	268.190	149.646	151.342	265.282	171.962	222.357	252.795	206.833	175.021	309.701	300.000	212.655	190.126	344.069	238.410	303.043	232.276	273.436	293.342	185.316	263.000	330.607	278.137	273.137	188.417	250.043	234.588	226.149	201.109	421.291	210.438	217.027	208.673	220.688	180.084	197.009	190.136
180000	35.00	160.947	168.612	145.417	267.440	145.292	154.848	261.684	171.013	230.896	252.957	210.574	183.419	317.479	293.547	222.759	197.204	354.414	237.744	303.444	232.241	283.145	297.786	181.500	259.863	343.111	281.393	276.308	191.136	254.836	231.491	230.035	211.485	418.906	217.661	221.062	205.832	219.752	182.453	194.477	194.345
30020000	35.12	163.463	162.906	146.650	265.103	141.792	146.848	269.410	173.218	219.252	245.889	208.500	187.548	311.120	302.453	219.603	199.825	342.724	245.231	302.103	230.664	277.342	291.769	188.184	253.641	338.846	284.786	270.530	192.194	246.526	231.605	225.088	202.921	424.145	220.705	219.150	202.779	216.743	183.211	200.312	195.145
30060000	35.12	163.242	163.635	145.417	262.776	152.292	146.747	268.769	170.731	220.313	252.282	203.722	187.570	310.462	295.436	215.345	190.932	338.129	247.906	295.556	229.431	270.564	282.778	178.327	260.402	325.573	283.316	272.932	184.641	248.897	226.825	220.860	202.822	419.658	209.188	228.080	207.080	203.761	179.179	196.505	187.582
30100000	35.12	168.705	160.824	152.817	261.612	154.021	153.709	263.000	174.667	228.861	250.265	218.046	190.000	309.778	297.812	213.853	197.233	349.836	242.068	298.342	226.681	272.718	286.368	184.541	258.863	333.248	282.068	278.128	187.845	246.397	229.149	224.553	207.911	422.171	219.893	224.398	204.558	215.615	189.232	202.743	195.118
30140000	35.12	163.400	163.859	156.317	265.267	148.042	165.557	271.786	177.821	226.791	254.966	205.963	182.237	318.060	304.761	220.259	188.942	343.121	244.060	301.214	228.586	272.530	292.333	186.000	266.085	335.419	284.744	278.231	187.641	254.379	229.886	226.974	201.901	422.778	218.786	225.389	199.168	216.514	178.800	198.780	187.755
30180000	35.12	168.053	165.282	150.483	265.431	141.854	152.709	263.325	171.667	227.957	250.325	209.454	193.140	310.838	292.615	216.974	190.330	348.664	245.752	307.444	235.638	278.949	285.675	195.684	255.385	340.128	286.556	281.299	185.748	243.517	230.386	223.561	199.960	431.248	218.625	220.973	202.726	219.183	178.842	202.679	183.955
60020000	35.23	169.579	172.294	148.583	270.405	138.042	152.063	264.342	186.513	231.270	258.222	208.685	194.462	312.932	302.880	218.569	191.301	344.129	247.265	299.889	236.879	278.291	288.727	185.112	258.077	338.940	291.923	283.077	200.602	248.578	228.579	228.281	209.485	414.974	222.411	222.009	203.186	220.761	178.084	203.037	195.982
60060000	35.23	161.632	164.188	149.483	266.293	152.792	154.797	272.094	167.782	230.643	252.026	210.259	192.785	314.308	306.983	213.397	196.650	350.362	243.863	302.265	226.784	281.538	286.863	184.949	260.821	338.650	283.521	272.299	183.330	251.491	234.263	223.956	206.901	422.462	218.259	225.752	207.106	213.395	177.863	199.890	195.927
60100000	35.23	173.474	167.259	157.233	263.000	156.604	153.354	262.410	170.872	230.513	255.308	218.241	187.903	314.701	306.718	217.052	194.049	346.483	255.590	309.624	238.078	273.333	286.496	186.939	255.778	336.282	285.957	280.154	188.233	254.552	230.184	224.079	199.634	426.991	217.098	227.195	211.283	213.523	179.411	197.101	193.527
60140000	35.23	169.179	162.259	165.450	269.595	152.688	156.506	268.179	168.615	223.991	262.299	210.019	193.430	311.803	301.513	214.681	193.117	357.500	250.504	303.658	235.957	271.761	286.974	182.367	258.932	342.188	282.615	277.786	194.942	251.862	231.982	219.728	206.832	425.427	216.830	226.221	211.027	216.101	186.684	204.596	198.309
60180000	35.23	163.021	163.435	155.783	269.190	143.271	155.266	262.632	166.564	226.478	262.513	208.935	188.366	318.222	296.880	225.060	192.641	353.103	242.077	303.675	239.595	276.043	289.154	186.153	261.402	343.880	289.188	280.547	191.097	253.216	232.377	228.579	206.970	427.735	226.509	224.602	197.274	213.404	184.358	200.165	197.591
