FluorCam7 Kinetics Export File
-----------------------------------
[us]	[°C]	Av6.1	Av4.2	Av1.2	Av6.3	Av3.1	Av2.1	Av4.1	Av6.2	Av7.2	Av4.3	Av5.1	Ad2.1	Av1.1	Ad7.1	Ad3.2	Av1.3	Ad7.3	Ad1.1	Av7.1	Ad3.1	Ad7.2	Av7.3	Ad3.3	Ad5.1	Av5.2	Av3.2	Av2.2	Ad2.2	Ad1.2	Ad5.2	Ad5.3	Ad4.3	Ad1.3	Ad4.2	Ad2.3	Ad4.1	Av2.3	Ad6.3	Av3.3	Ad6.2	Av5.3	Ad6.1
20000	35.00	142.690	178.607	145.947	186.614	275.684	277.821	199.155	167.053	224.650	267.684	202.291	287.368	140.775	158.260	202.590	153.817	172.618	237.171	175.018	158.633	182.705	222.319	215.667	163.519	239.034	232.427	153.297	197.291	247.444	174.616	201.829	159.879	216.342	161.877	289.120	158.505	209.155	150.217	201.829	155.190	164.096	178.780
60000	35.00	121.931	172.060	132.149	184.605	271.829	287.658	202.155	160.018	216.769	262.444	202.496	278.496	122.613	146.952	207.120	160.321	174.227	224.120	170.009	152.653	175.268	226.207	216.932	156.368	235.624	228.282	154.748	194.162	247.573	169.473	204.282	153.561	215.496	163.447	285.333	139.963	209.690	147.075	199.479	146.295	161.538	174.771
100000	35.00	127.920	175.795	140.415	186.930	277.197	277.316	207.543	163.789	227.530	264.915	209.197	284.462	120.775	149.673	208.188	153.899	182.418	236.761	165.658	150.439	180.286	220.836	216.214	161.387	238.017	235.154	157.081	191.188	254.513	173.125	209.983	156.075	225.376	164.632	283.795	145.047	205.991	144.104	201.265	140.343	167.606	178.514
140000	35.00	124.011	166.761	133.553	185.140	282.889	290.137	205.655	153.781	222.650	262.214	205.462	292.906	123.350	152.173	204.658	155.028	175.827	237.256	172.793	148.867	174.750	227.819	215.940	153.028	230.085	235.359	154.117	199.812	248.453	163.804	202.273	154.131	221.786	160.763	288.085	145.159	210.060	145.717	206.727	146.895	156.606	174.404
180000	35.00	129.448	172.231	141.915	185.149	282.769	277.624	199.371	163.079	230.282	261.932	206.051	289.376	123.600	152.837	202.556	145.303	174.755	237.410	176.072	149.276	177.991	221.897	214.607	154.623	240.111	234.538	157.559	201.068	243.470	166.018	206.026	159.645	219.316	163.518	279.735	148.654	212.181	147.264	207.205	138.438	161.856	177.422
30020000	35.11	129.621	173.786	135.957	182.219	279.231	292.205	206.612	156.000	229.299	261.598	203.889	282.427	120.275	150.019	204.188	152.303	174.655	236.530	167.036	147.827	173.375	230.750	211.308	158.642	232.615	231.957	158.000	195.111	249.598	165.750	206.786	152.308	223.838	163.939	284.376	150.449	209.181	147.000	199.923	144.010	155.933	171.523
30060000	35.11	134.977	169.248	140.021	190.956	269.949	283.427	206.853	161.939	232.701	264.393	210.658	289.368	122.050	149.317	206.060	156.514	171.600	233.342	171.964	149.571	179.357	222.784	217.906	162.217	238.692	235.444	155.063	198.701	250.889	162.929	204.897	151.047	219.111	166.053	275.966	149.654	215.664	145.009	201.179	147.229	165.462	170.642
30100000	35.11	128.299	172.658	136.426	186.456	275.966	284.675	204.345	162.114	226.026	261.385	204.838	290.897	123.137	153.183	209.829	147.440	178.282	233.368	172.207	148.347	177.464	227.905	214.137	160.783	237.197	234.060	155.018	196.427	245.983	175.321	208.333	157.963	221.273	168.947	286.197	147.991	212.353	139.557	198.248	144.324	159.356	173.330
30140000	35.11	125.437	176.316	139.415	185.421	280.453	287.410	204.578	157.298	233.051	269.342	205.402	286.291	120.213	144.067	204.966	149.550	188.682	229.273	169.811	148.714	186.116	218.957	213.214	163.208	232.436	231.513	157.360	199.026	251.932	169.357	208.077	158.505	215.718	172.053	287.419	146.112	205.724	141.368	203.291	145.457	163.442	176.532
30180000	35.11	121.575	172.256	145.223	185.596	279.521	288.171	202.750	160.982	229.077	271.239	210.803	287.607	129.275	154.106	202.000	150.257	178.118	230.538	176.973	149.000	179.223	221.198	215.547	164.887	236.333	240.778	159.162	198.795	245.265	172.911	211.179	162.000	217.821	163.211	290.675	142.888	212.897	138.557	207.256	143.219	163.327	171.642
