FluorCam6 Checkpoints File
0us	startFo_1
200000us	endFo_1
30000000us	startFo_2
30200000us	endFo_2
60000000us	startFo_3
60200000us	endFo_3
90000000us	startFo_4
90200000us	endFo_4
120000000us	startFo_5
120200000us	endFo_5
150000000us	startFo_6
150200000us	endFo_6
180000000us	startFo_7
180200000us	endFo_7
210000000us	startFo_8
210200000us	endFo_8
240000000us	startFo_9
240200000us	endFo_9
270000000us	startFo_10
270200000us	endFo_10
300000000us	startFo_11
300200000us	endFo_11
330000000us	startFo_12
330200000us	endFo_12
360000000us	startFo_13
360200000us	endFo_13
390000000us	startFo_14
390200000us	endFo_14
420000000us	startFo_15
420200000us	endFo_15
450000000us	startFo_16
450200000us	endFo_16
480000000us	startFo_17
480200000us	endFo_17
510000000us	startFo_18
510200000us	endFo_18
540000000us	startFo_19
540200000us	endFo_19
570000000us	startFo_20
570200000us	endFo_20
600000000us	startFo_21
600200000us	endFo_21
630000000us	startFo_22
630200000us	endFo_22
660000000us	startFo_23
660200000us	endFo_23
690000000us	startFo_24
690200000us	endFo_24
720000000us	startFo_25
720200000us	endFo_25
750000000us	startFo_26
750200000us	endFo_26
780000000us	startFo_27
780200000us	endFo_27
810000000us	startFo_28
810200000us	endFo_28
840000000us	startFo_29
840200000us	endFo_29
870000000us	startFo_30
870200000us	endFo_30
900000000us	startFo_31
900200000us	endFo_31
930000000us	startFo_32
930200000us	endFo_32
960000000us	startFo_33
960200000us	endFo_33
990000000us	startFo_34
990200000us	endFo_34
1020000000us	startFo_35
1020200000us	endFo_35
1050000000us	startFo_36
1050200000us	endFo_36
1080000000us	startFo_37
1080200000us	endFo_37
1110000000us	startFo_38
1110200000us	endFo_38
1140000000us	startFo_39
1140200000us	endFo_39
1170000000us	startFo_40
1170200000us	endFo_40
1200000000us	startFo_41
1200200000us	endFo_41
1230000000us	startFo_42
1230200000us	endFo_42
1260000000us	startFo_43
1260200000us	endFo_43
1290000000us	startFo_44
1290200000us	endFo_44
1320000000us	startFo_45
1320200000us	endFo_45
1350000000us	startFo_46
1350200000us	endFo_46
1380000000us	startFo_47
1380200000us	endFo_47
1410000000us	startFo_48
1410200000us	endFo_48
1440000000us	startFo_49
1440200000us	endFo_49
1470000000us	startFo_50
1470200000us	endFo_50
1500000000us	startFo_51
1500200000us	endFo_51
1530000000us	startFo_52
1530200000us	endFo_52
1560000000us	startFo_53
1560200000us	endFo_53
1590000000us	startFo_54
1590200000us	endFo_54
1620000000us	startFo_55
1620200000us	endFo_55
1650000000us	startFo_56
1650200000us	endFo_56
1680000000us	startFo_57
1680200000us	endFo_57
1710000000us	startFo_58
1710200000us	endFo_58
1740000000us	startFo_59
1740200000us	endFo_59
1770000000us	startFo_60
1770200000us	endFo_60
1800000000us	startFo_61
1800200000us	endFo_61
1830000000us	startFo_62
1830200000us	endFo_62
1860000000us	startFo_63
1860200000us	endFo_63
1890000000us	startFo_64
1890200000us	endFo_64
1920000000us	startFo_65
1920200000us	endFo_65
1950000000us	startFo_66
1950200000us	endFo_66
1980000000us	startFo_67
1980200000us	endFo_67
2010000000us	startFo_68
2010200000us	endFo_68
2040000000us	startFo_69
2040200000us	endFo_69
2070000000us	startFo_70
2070200000us	endFo_70
2100000000us	startFo_71
2100200000us	endFo_71
2130000000us	startFo_72
2130200000us	endFo_72
2160000000us	startFo_73
2160200000us	endFo_73
2190000000us	startFo_74
2190200000us	endFo_74
2220000000us	startFo_75
2220200000us	endFo_75
2250000000us	startFo_76
2250200000us	endFo_76
2280000000us	startFo_77
2280200000us	endFo_77
2310000000us	startFo_78
2310200000us	endFo_78
2340000000us	startFo_79
2340200000us	endFo_79
2370000000us	startFo_80
2370200000us	endFo_80
2400000000us	startFo_81
2400200000us	endFo_81
2430000000us	startFo_82
2430200000us	endFo_82
2460000000us	startFo_83
2460200000us	endFo_83
2490000000us	startFo_84
2490200000us	endFo_84
2520000000us	startFo_85
2520200000us	endFo_85
2550000000us	startFo_86
2550200000us	endFo_86
2580000000us	startFo_87
2580200000us	endFo_87
2610000000us	startFo_88
2610200000us	endFo_88
2640000000us	startFo_89
2640200000us	endFo_89
2670000000us	startFo_90
2670200000us	endFo_90
2700000000us	startFo_91
2700200000us	endFo_91
2730000000us	startFo_92
2730200000us	endFo_92
2760000000us	startFo_93
2760200000us	endFo_93
2790000000us	startFo_94
2790200000us	endFo_94
2820000000us	startFo_95
2820200000us	endFo_95
2850000000us	startFo_96
2850200000us	endFo_96
2880000000us	startFo_97
2880200000us	endFo_97
2910000000us	startFo_98
2910200000us	endFo_98
2940000000us	startFo_99
2940200000us	endFo_99
2970000000us	startFo_100
2970200000us	endFo_100
3000000000us	startFo_101
3000200000us	endFo_101
3030000000us	startFo_102
3030200000us	endFo_102
3060000000us	startFo_103
3060200000us	endFo_103
3090000000us	startFo_104
3090200000us	endFo_104
3120000000us	startFo_105
3120200000us	endFo_105
3150000000us	startFo_106
3150200000us	endFo_106
3180000000us	startFo_107
3180200000us	endFo_107
3210000000us	startFo_108
3210200000us	endFo_108
3240000000us	startFo_109
3240200000us	endFo_109
3270000000us	startFo_110
3270200000us	endFo_110
3300000000us	startFo_111
3300200000us	endFo_111
3330000000us	startFo_112
3330200000us	endFo_112
3360000000us	startFo_113
3360200000us	endFo_113
3390000000us	startFo_114
3390200000us	endFo_114
3420000000us	startFo_115
3420200000us	endFo_115
3450000000us	startFo_116
3450200000us	endFo_116
3480000000us	startFo_117
3480200000us	endFo_117
3510000000us	startFo_118
3510200000us	endFo_118
3540000000us	startFo_119
3540200000us	endFo_119
3570000000us	startFo_120
3570200000us	endFo_120
