FluorCam7 Kinetics Export File
-----------------------------------
[us]	[°C]	Aas2.2	Aas4.1	Am2.1	Am4.2	Aas2.1	Am1.1	Aas4.2	Am1.2	Am4.1	Am1.3	Am2.2	Am6.1	Am6.3	Am5.1	Aas3.1	Aas2.3	Aas4.3	Aas1.1	Am4.3	Am3.1	Aas5.1	Am2.3	Am7.1	Am3.2	Am5.2	Aas1.2	Aas3.2	Aas5.2	Aas5.3	AasZ7.3	Aas6.1	Am3.3	Aas6.2	Am5.3	Aas6.3	Aas1.3	AasZ7.1	Aas3.3	AasZ7.2	AasZ8.1	AasZ8.2	AasZ8.3
20000	35.00	140.752	124.808	154.147	176.602	136.484	165.745	138.677	125.938	177.106	128.826	155.883	138.781	181.547	177.435	215.333	144.333	142.843	194.205	152.892	216.154	207.419	150.103	213.829	231.590	173.775	157.411	217.410	152.679	150.518	157.274	123.129	180.552	149.882	201.009	159.907	174.853	217.581	145.704	164.250	140.478	168.426	121.096
60000	35.00	135.465	104.308	149.349	171.947	117.297	165.727	123.968	104.812	167.681	105.304	144.550	130.688	182.299	184.096	215.094	138.685	132.011	195.530	149.955	222.957	206.632	139.336	207.350	223.308	175.640	152.121	213.291	144.274	149.321	147.981	113.357	190.310	141.718	201.949	156.963	173.698	232.821	147.837	163.664	138.500	166.026	91.173
100000	35.00	132.842	91.385	149.936	169.106	123.132	167.173	120.538	101.406	173.513	114.377	151.135	132.458	179.009	173.861	215.752	136.269	132.607	199.145	150.117	216.359	212.624	150.047	216.308	232.547	177.892	146.467	218.325	143.858	146.223	147.038	114.886	192.164	143.245	196.821	160.701	175.483	227.026	151.357	165.647	137.076	168.104	98.885
140000	35.00	134.634	93.462	149.183	166.929	123.275	161.682	126.183	112.016	172.602	109.957	155.919	135.823	181.350	182.130	209.504	142.796	135.652	201.684	149.919	220.128	204.872	144.916	217.026	229.983	180.514	141.804	211.641	149.679	146.009	144.802	111.571	189.241	145.691	193.632	164.785	171.440	217.590	134.112	164.578	140.380	169.843	100.077
180000	35.00	133.356	88.096	161.706	175.381	120.308	164.936	122.925	106.219	177.265	109.014	153.604	126.427	178.333	178.304	210.564	140.500	139.663	204.675	150.676	219.786	211.915	146.252	204.846	232.094	176.081	151.243	212.889	148.434	148.536	144.613	111.371	182.371	143.618	200.598	164.664	178.052	229.897	142.510	164.103	133.022	172.330	91.038
30020000	35.11	141.604	95.635	153.853	177.973	122.253	160.891	128.065	110.062	167.009	112.014	151.937	133.104	181.718	179.522	216.043	138.731	143.045	198.162	153.694	226.915	217.128	152.262	218.795	234.803	174.297	148.701	214.419	160.736	146.000	145.500	109.914	186.914	145.236	201.427	158.327	170.914	230.581	153.520	162.414	139.402	164.800	102.288
30060000	35.11	133.139	96.019	156.101	166.991	120.659	157.173	125.387	108.141	170.248	108.754	156.820	138.125	178.316	186.800	208.000	141.806	143.090	199.547	149.261	227.487	207.778	146.935	211.940	228.436	181.378	157.738	209.299	153.160	155.705	152.349	102.743	189.888	150.509	198.197	155.916	176.966	218.727	149.888	163.319	141.141	168.087	92.865
30100000	35.11	140.772	98.519	149.468	172.717	124.516	158.164	129.172	108.656	176.398	113.174	158.865	139.198	180.077	181.878	212.103	142.130	141.258	198.128	153.342	224.385	210.727	154.430	211.299	231.273	180.225	143.215	211.265	156.821	153.170	150.868	108.986	190.681	148.118	200.863	163.140	169.647	222.214	152.857	163.250	136.446	169.070	100.615
30140000	35.11	140.881	97.231	149.505	176.195	120.110	159.973	126.247	102.672	173.442	112.855	153.694	132.188	175.709	184.443	213.009	143.046	143.146	192.761	155.901	225.248	214.769	147.561	217.598	230.197	177.901	147.299	213.410	153.066	148.205	144.217	113.543	180.603	147.136	204.077	164.028	175.233	226.863	151.092	165.319	128.304	171.817	99.423
30180000	35.11	136.851	98.865	152.963	172.575	125.429	155.336	127.763	107.188	179.000	111.768	152.180	133.740	182.752	184.070	214.915	139.009	139.730	195.034	155.216	220.111	208.701	146.925	211.966	236.650	176.595	154.766	215.154	153.066	152.036	149.094	106.743	183.871	146.936	202.880	161.991	178.810	225.684	149.388	159.362	133.272	176.122	96.615
60020000	35.22	139.396	101.250	156.459	172.230	119.780	160.618	130.656	107.250	176.292	105.783	152.144	137.896	183.684	187.052	215.085	145.444	153.292	202.453	151.559	231.470	220.940	154.467	218.000	234.803	174.153	147.570	211.735	143.915	151.161	147.802	113.000	197.095	147.282	195.034	160.953	177.319	232.171	162.796	170.371	130.402	175.322	103.519
60060000	35.22	136.693	102.192	154.890	175.646	123.473	160.282	126.667	104.141	175.389	110.116	155.559	137.854	182.017	183.557	216.316	139.657	151.056	203.214	154.775	223.222	210.145	152.523	215.615	235.598	168.784	150.916	209.120	149.566	147.902	148.189	101.800	191.267	146.827	208.051	165.355	180.293	231.479	151.561	168.060	127.913	172.374	110.308
60100000	35.22	139.901	101.635	149.339	169.823	129.791	161.027	133.355	107.797	177.513	104.464	161.423	132.812	181.120	183.757	214.222	137.380	151.202	202.897	146.180	222.855	215.299	159.374	220.735	241.299	170.946	145.280	210.256	151.632	150.902	152.972	113.743	190.621	149.300	196.487	161.869	176.328	237.026	164.418	166.302	132.076	168.357	102.538
